name,price,profit
Share-ILTN,23.8,2.45
Share-FKJW,21.08,39.78
Share-BXWL,11.08,28.8
Share-AQHE,7.8,5.36
Share-UXBG,06.08,34.58
Share-IYKD,01.08,13.02
Share-ZSRN,31.7,4.62
Share-COVF,30.7,15.92
Share-KYXI,29.07,31.36
Share-HBSR,25.7,16.14
Share-IXSO,19.7,28.29
Share-CFML,18.07,28.4
Share-LNMC,13.7,13.48
Share-XZOD,12.07,2.81
Share-ZPTK,11.7,17.6
Share-HJKI,9.7,0.3
Share-BXEV,6.7,33.58
Share-OQSQ,05.07,26.84
Share-VLWV,3.7,3.85
Share-XWRU,28.6,23.37
Share-PPPH,24.06,38.2
Share-TGAD,19.06,18.58
Share-CTCR,16.6,12.4
Share-ZOIW,15.06,25.6
Share-KYUG,15.06,1.42
Share-LCVT,06.06,01.05
Share-XMLZ,29.5,24.46
Share-MCBN,29.5,16.75
Share-TJBP,28.5,28.54
Share-QINE,26.5,37.18
Share-FFBY,22.05,11.41
Share-ZWPI,21.5,39.02
Share-DYJJ,21.05,21.2
Share-JGBU,21.05,9.0
Share-OYDA,20.5,10.85
Share-GUTR,16.5,15.85
Share-ESFE,13.5,4.44
Share-MGXU,13.5,38.27
Share-GZUU,13.05,27.4
Share-KXOH,1.5,32.19
Share-GTAN,26.04,38.06
Share-KWDY,26.04,37.89
Share-HYMY,26.4,34.84
Share-NCFR,25.4,03.06
Share-LFGX,25.04,9.84
Share-NDSG,24.04,10.44
Share-WZIF,20.04,5.6
Share-QDWQ,17.4,18.99
Share-GTQK,15.4,39.95
Share-ZRZK,15.04,20.65
Share-XHQJ,11.4,21.7
Share-DAWU,7.4,5.24
Share-IBVH,06.04,22.03
Share-HLYD,3.4,12.43
Share-ZBMZ,31.3,34.14
Share-UBYY,30.3,20.12
Share-FAXV,29.03,32.58
Share-PNBE,27.3,10.85
Share-ZSPZ,22.3,18.9
Share-CBUV,19.3,21.75
Share-JHKR,18.3,25.25
Share-HCNK,13.03,23.56
Share-NNSM,12.03,32.13
Share-MOVE,12.3,21.15
Share-FNVN,09.03,14.25
Share-HPQO,05.03,34.97
Share-OZBN,05.03,28.04
Share-WBWX,27.02,3.51
Share-HGVJ,26.2,24.94
Share-BMIQ,25.2,34.16
Share-MZLJ,23.2,17.43
Share-TCIP,22.2,29.46
Share-KQDZ,16.02,38.42
Share-NNDP,15.02,11.1
Share-CRZH,30.01,34.82
Share-QSSK,29.01,20.95
Share-OBVY,29.01,2.54
Share-HQHB,27.01,23.97
Share-UNHO,26.1,3.0
Share-NKEK,19.01,25.8
Share-MOVT,19.01,0.59
Share-HQVQ,17.1,11.65
Share-GKWN,16.01,33.52
Share-MYPQ,14.1,6.55
Share-DUPH,10.01,12.25
Share-PNHT,08.01,20.1
Share-FHZN,6.1,38.09
Share-HAJM,06.01,8.56
